Spicy Chicken Bites,Fresh and tender hand-cut chicken tossed in a sweet and spicy chili-ginger sauce.,,starter,460,5.29,https://media.longhornsteakhouse.com/en_us/images/product/1256LH_SpcyCknBiteRGB_918x568.jpg,0,2
Texas Tonion®,A longtime guest favorite. Crispy onion petals drizzled with housemade crema and served with a zesty dip.,,starter,1180,7.99,https://media.longhornsteakhouse.com/en_us/images/product/d-texas-tonion-dpv-11-21-17.jpg,0,2
Roasted White Cheddar Stuffed Mushrooms,"Fresh, roasted mushrooms hand-stuffed with garlic herb cheese, topped with a Parmesan crust and served over a creamy blend of four melted cheeses.",,starter,610,8.49,https://media.longhornsteakhouse.com/en_us/images/product/d-white-cheddar-mushrooms-dpv-8-16-17.jpg,0,2
Firecracker Chicken Wraps,"We call these Firecrackers because they’re bursting with flavor! Spicy grilled chicken and cheese wrapped in a crispy flour tortilla, and served with a cool avocado-lime dipping sauce.",,starter,740,8.49,https://media.longhornsteakhouse.com/en_us/images/product/d-firecracker-chicken-wraps-dpv-4-4-17.jpg,0,2
Wild West Shrimp®,"We start with crispy, hand-battered shrimp and put the flavor in overdrive with spicy cherry peppers, garlic butter and housemade ranch dressing. It’s so good you won’t want to share.",,starter,970,9.49,https://media.longhornsteakhouse.com/en_us/images/product/d-wild-west-shrimp-dpv-11-21-17.jpg,0,2
Seasoned Steakhouse Wings,"Crispy chicken wings with our signature seasoning, served with housemade blue cheese dressing and Buffalo sauce.",,starter,460,9.49,https://media.longhornsteakhouse.com/en_us/images/product/1659LH-DryWingsArrayRGB-dpv.jpg,0,2
$7.49 COMBO,"Pick either a Mixed Green or Caesar Salad. Then choose from one of our soups. Current selections include LongHorn Chili, Loaded Potato Soup, French Onion Soup or Shrimp & Lobster Chowder.",,lunch,,7.49,https://media.longhornsteakhouse.com/en_us/images/product/l-caesar_salad_and_soup_combination-dpv.jpg,0,2
$7.99 COMBO,"Choice of either Mixed Green Salad, Caesar Salad or Bowl of Soup.",,lunch,,7.99,https://media.longhornsteakhouse.com/en_us/images/product/l-buttermilk-chicken-sandwich-combo-dpv-5-16-17.jpg,0,2
$8.99 COMBO,"Choice of either Mixed Green Salad, Caesar Salad or Bowl of Soup.",,lunch,,8.99,https://media.longhornsteakhouse.com/en_us/images/product/l-3rd-lb-bacon-cheddar-burger-combo-dpv-5-16-17.jpg,0,2
$9.99 COMBO,"Choice of either Mixed Green Salad, Caesar Salad or Bowl of Soup.",,lunch,,9.99,http://media.longhornsteakhouse.com/en_us/images/product/1874LH_MushSwsBrgrCmboRGB_918x568.jpg,0,2
Steakhouse Burger,"Thick, juicy and expertly grilled to order, with your choice of cheese on a toasted potato bun. Served with our crave-worthy fries.",,burger/lunch/dinner,,9.99,https://media.longhornsteakhouse.com/en_us/images/product/d-steakhouse-burger-dpv-8-16-17.jpg,0,2
Mushroom Swiss Burger,"Topped with roasted mushrooms, Swiss cheese, steakhouse mayo and arugula on a toasted potato bun.",,burger/lunch/dinner,,11.99,https://media.longhornsteakhouse.com/en_us/images/product/l-mushroom-swiss-burger-dpv-5-16-17.jpg,0,2
BBQ Bacon Cheddar Burger,"Loaded with applewood smoked bacon, housemade BBQ sauce, cheddar cheese and crispy onion straws.",,burger/lunch/dinner,,11.99,https://media.longhornsteakhouse.com/en_us/images/product/l-bbq-bacon-cheddar-burger-dpv-5-16-17.jpg,0,2
Big Sky Burger,"Topped with shaved prime rib, Swiss cheese, crispy onion straws, arugula and steakhouse mayo on a toasted potato bun. Served with Parmesan Garlic Fries.",,burger/lunch/dinner,,14.29,https://media.longhornsteakhouse.com/en_us/images/product/l-big-sky-burger-dpv-5-16-17.jpg,0,2
Crispy Buttermilk Chicken Sandwich,"Fresh, hand-breaded chicken breast fried to order and topped with lettuce, onion, tomato dill pickles and housemade ranch.",,sandwich/lunch/dinner,,9.49,https://media.longhornsteakhouse.com/en_us/images/product/l-crispy-buttermilk-chicken-sandwich-dpv-11-21-17.jpg,0,2
Grilled Chicken Sandwich,"Fresh grilled chicken breast topped with Havarti cheese, arugula and a roasted tomato aioli. Served on a toasted potato bun.",,sandwich/lunch/dinner,,9.49,https://media.longhornsteakhouse.com/en_us/images/product/l-steakhouse-grilled-chicken-sandwich-dpv-7-19-17.jpg,0,2
Shaved Prime Rib Sandwich,"Shaved prime rib topped with onions, mushrooms and Swiss cheese on French bread.",,sandwich/lunch/dinner,,11.99,https://media.longhornsteakhouse.com/en_us/images/product/d-shaved-prime-rib-sandwich-dpv-5-16-17.jpg,0,2
Renegade Sirloin,"Lean, fresh and grilled to order. Top USDA choice center-cut sirloin generously seasoned with a secret blend of spices, then grilled to perfection. Served with your choice of side.",,steak/lunch/dinner,,11.29,https://media.longhornsteakhouse.com/en_us/images/product/l-6-oz-sirloin-dpv.jpg,0,2
Chop Steak,"Fresh 10 oz. ground beef, grilled and smothered with mushrooms, red wine sauce and onion straws. Choice of side.",,steak/lunch/dinner,,12.49,https://media.longhornsteakhouse.com/en_us/images/product/d-chop-steakdpv.jpg,0,2
Flat Iron Steak,"Thick, tender steak with deep, hearty flavor. House marinated for extra flavor.",,steak/lunch/dinner,,13.29,https://media.longhornsteakhouse.com/en_us/images/product/d-flat-iron-steak-dpv.jpg,0,2
